,X1,X2,pearson_abs,pearson_dir
3312,pco2_min,pco2_max,0.5245200967812673,1.0
2388,potassium_min,potassium_max,0.5186506345297689,1.0
2463,potassium_max,potassium_min,0.5186506345297689,1.0
3160,ph_min,pco2_max,0.4745788497040788,-1.0
3385,pco2_max,ph_min,0.4745788497040788,-1.0
2324,bicarbonate_max,pco2_max,0.4599343246455743,1.0
3374,pco2_max,bicarbonate_max,0.4599343246455743,1.0
3164,ph_min,sofa,0.44441052148618665,-1.0
3689,sofa,ph_min,0.44441052148618665,-1.0
3233,ph_max,ph_min,0.43257738363965637,1.0
3158,ph_min,ph_max,0.43257738363965637,1.0
2080,glucose_min,glucose_max,0.42666668777030875,1.0
2155,glucose_max,glucose_min,0.42666668777030875,1.0
5234,vasopressin,norepinephrine,0.4256730557223413,1.0
5084,norepinephrine,vasopressin,0.4256730557223413,1.0
3620,gcs_min,sofa,0.42479243548360496,-1.0
3695,sofa,gcs_min,0.42479243548360496,-1.0
3541,po2_max,po2_min,0.4173732994673375,1.0
3466,po2_min,po2_max,0.4173732994673375,1.0
2227,bicarbonate_min,calcium_min,0.40846258757548565,1.0
1777,calcium_min,bicarbonate_min,0.40846258757548565,1.0
615,temperature_max,temperature_min,0.4006766105441628,1.0
540,temperature_min,temperature_max,0.4006766105441628,1.0
3145,ph_min,bicarbonate_min,0.3998509712796935,1.0
2245,bicarbonate_min,ph_min,0.3998509712796935,1.0
5216,vasopressin,sofa,0.39885629639321674,1.0
3716,sofa,vasopressin,0.39885629639321674,1.0
3677,sofa,bicarbonate_min,0.366594539173595,-1.0
2252,bicarbonate_min,sofa,0.366594539173595,-1.0
4636,ventilation_status_oxygen,n_stays,0.3648757977599664,1.0
61,n_stays,ventilation_status_oxygen,0.3648757977599664,1.0
5670,abpd,po2_max,0.3626728100491665,1.0
3570,po2_max,abpd,0.3626728100491665,1.0
5594,abps,po2_max,0.3624702119780999,1.0
3569,po2_max,abps,0.3624702119780999,1.0
5746,abpm,po2_max,0.36197417827236933,1.0
3571,po2_max,abpm,0.36197417827236933,1.0
472,heart_rate_max,rr_max,0.3607300896822201,1.0
1222,rr_max,heart_rate_max,0.3607300896822201,1.0
4234,admission_type_observation_admit,admission_type_ew_emer,0.36062643896374297,-1.0
4159,admission_type_ew_emer,admission_type_observation_admit,0.36062643896374297,-1.0
307,height_chart,weight,0.35814687093506037,1.0
232,weight,height_chart,0.35814687093506037,1.0
3373,pco2_max,bicarbonate_min,0.35707032968001096,1.0
2248,bicarbonate_min,pco2_max,0.35707032968001096,1.0
2024,creatinine_max,sofa,0.3567750477096297,1.0
3674,sofa,creatinine_max,0.3567750477096297,1.0
2987,magnesium_min,calcium_min,0.3553635153326075,1.0
1787,calcium_min,magnesium_min,0.3553635153326075,1.0
3670,sofa,bun_max,0.3459844125502941,1.0
1720,bun_max,sofa,0.3459844125502941,1.0
3182,ph_min,norepinephrine,0.33946542142328967,-1.0
5057,norepinephrine,ph_min,0.33946542142328967,-1.0
4532,ventilation_status_invasivevent,sofa,0.33728258807126404,1.0
3707,sofa,ventilation_status_invasivevent,0.33728258807126404,1.0
3310,pco2_min,ph_max,0.3372027078322301,-1.0
3235,ph_max,pco2_min,0.3372027078322301,-1.0
4545,ventilation_status_invasivevent,ventilation_status_oxygen,0.3366059527064436,-1.0
4695,ventilation_status_oxygen,ventilation_status_invasivevent,0.3366059527064436,-1.0
5615,abps,phenylephrine,0.33158639384935573,1.0
5165,phenylephrine,abps,0.33158639384935573,1.0
5691,abpd,phenylephrine,0.33131818495512405,1.0
5166,phenylephrine,abpd,0.33131818495512405,1.0
5167,phenylephrine,abpm,0.3307273092622715,1.0
5767,abpm,phenylephrine,0.3307273092622715,1.0
5029,norepinephrine,nbps_min,0.328664538655544,-1.0
1054,nbps_min,norepinephrine,0.328664538655544,-1.0
3468,po2_min,sofa,0.31884338211866897,-1.0
3693,sofa,po2_min,0.31884338211866897,-1.0
3667,sofa,platelet_min,0.3175565745205856,-1.0
1492,platelet_min,sofa,0.3175565745205856,-1.0
5558,abps,nbpm_max,0.31684647837605745,-1.0
833,nbpm_max,abps,0.31684647837605745,-1.0
834,nbpm_max,abpd,0.31632311527605017,-1.0
5634,abpd,nbpm_max,0.31632311527605017,-1.0
5710,abpm,nbpm_max,0.31542989634698154,-1.0
835,nbpm_max,abpm,0.31542989634698154,-1.0
614,temperature_max,heart_rate_max,0.3123373961658261,1.0
464,heart_rate_max,temperature_max,0.3123373961658261,1.0
1948,creatinine_min,sofa,0.3111239624477149,1.0
3673,sofa,creatinine_min,0.3111239624477149,1.0
3669,sofa,bun_min,0.3069866334153575,1.0
1644,bun_min,sofa,0.3069866334153575,1.0
5560,abps,nbpd_max,0.3045578484310713,-1.0
985,nbpd_max,abps,0.3045578484310713,-1.0
5636,abpd,nbpd_max,0.3043799889211148,-1.0
986,nbpd_max,abpd,0.3043799889211148,-1.0
987,nbpd_max,abpm,0.3037924529570235,-1.0
5712,abpm,nbpd_max,0.3037924529570235,-1.0
608,temperature_max,n_stays,0.30254820815490885,-1.0
8,n_stays,temperature_max,0.30254820815490885,-1.0
1002,nbps_min,nbps_max,0.3024613138857175,1.0
1077,nbps_max,nbps_min,0.3024613138857175,1.0
3175,ph_min,ventilation_status_invasivevent,0.29725574016310635,-1.0
4525,ventilation_status_invasivevent,ph_min,0.29725574016310635,-1.0
5520,bilirubin,sofa,0.29699065181579265,1.0
3720,sofa,bilirubin,0.29699065181579265,1.0
396,heart_rate_min,rr_max,0.2955263284688011,1.0
1221,rr_max,heart_rate_min,0.2955263284688011,1.0
2458,potassium_max,creatinine_max,0.2948835609590778,1.0
2008,creatinine_max,potassium_max,0.2948835609590778,1.0
34,n_stays,sodium_max,0.29457639615604797,-1.0
2584,sodium_max,n_stays,0.29457639615604797,-1.0
2005,creatinine_max,bicarbonate_min,0.29434780414183587,-1.0
2230,bicarbonate_min,creatinine_max,0.29434780414183587,-1.0
4310,admission_type_surgical_same_day_admission,admission_type_ew_emer,0.28807160520630776,-1.0
4160,admission_type_ew_emer,admission_type_surgical_same_day_admission,0.28807160520630776,-1.0
1796,calcium_min,sofa,0.2841310895764841,-1.0
3671,sofa,calcium_min,0.2841310895764841,-1.0
5045,norepinephrine,bicarbonate_min,0.28195405310618754,-1.0
2270,bicarbonate_min,norepinephrine,0.28195405310618754,-1.0
2985,magnesium_min,bun_min,0.2808790631230994,1.0
1635,bun_min,magnesium_min,0.2808790631230994,1.0
32,n_stays,potassium_max,0.2789200541936326,-1.0
2432,potassium_max,n_stays,0.2789200541936326,-1.0
5209,vasopressin,ph_min,0.2785534349572554,-1.0
3184,ph_min,vasopressin,0.2785534349572554,-1.0
5759,abpm,ventilation_status_invasivevent,0.277271214795744,1.0
4559,ventilation_status_invasivevent,abpm,0.277271214795744,1.0
4558,ventilation_status_invasivevent,abpd,0.27515044461186033,1.0
5683,abpd,ventilation_status_invasivevent,0.27515044461186033,1.0
5607,abps,ventilation_status_invasivevent,0.2748454331884584,1.0
4557,ventilation_status_invasivevent,abps,0.2748454331884584,1.0
3222,ph_max,bicarbonate_max,0.273752290694416,1.0
2322,bicarbonate_max,ph_max,0.273752290694416,1.0
2395,potassium_min,magnesium_min,0.2721146684858437,1.0
2995,magnesium_min,potassium_min,0.2721146684858437,1.0
3719,sofa,albumin,0.2712834143112276,1.0
5444,albumin,sofa,0.2712834143112276,1.0
5562,abps,nbps_max,0.2709465568033371,-1.0
1137,nbps_max,abps,0.2709465568033371,-1.0
1138,nbps_max,abpd,0.27007054693328675,-1.0
5638,abpd,nbps_max,0.27007054693328675,-1.0
2473,potassium_max,ph_min,0.2699452149827296,-1.0
3148,ph_min,potassium_max,0.2699452149827296,-1.0
750,nbpm_min,norepinephrine,0.2684734998021148,-1.0
5025,norepinephrine,nbpm_min,0.2684734998021148,-1.0
1778,calcium_min,bicarbonate_max,0.2681704992344197,1.0
2303,bicarbonate_max,calcium_min,0.2681704992344197,1.0
1139,nbps_max,abpm,0.26813986334097023,-1.0
5714,abpm,nbps_max,0.26813986334097023,-1.0
1704,bun_max,potassium_max,0.2676159810773734,1.0
2454,potassium_max,bun_max,0.2676159810773734,1.0
200,suspected_infection,sofa,0.26592845048748176,1.0
3650,sofa,suspected_infection,0.26592845048748176,1.0
1036,nbps_min,sofa,0.2642342889521283,-1.0
3661,sofa,nbps_min,0.2642342889521283,-1.0
1479,platelet_min,wbc_min,0.26368999653337216,1.0
2679,wbc_min,platelet_min,0.26368999653337216,1.0
4644,ventilation_status_oxygen,temperature_max,0.2636510179246383,-1.0
669,temperature_max,ventilation_status_oxygen,0.2636510179246383,-1.0
1156,rr_min,rr_max,0.2633928848298908,1.0
1231,rr_max,rr_min,0.2633928848298908,1.0
3139,ph_min,calcium_min,0.2622124350852665,1.0
1789,calcium_min,ph_min,0.2622124350852665,1.0
5197,vasopressin,bicarbonate_min,0.25791083117281466,-1.0
2272,bicarbonate_min,vasopressin,0.25791083117281466,-1.0
2246,bicarbonate_min,ph_max,0.25766448717336254,1.0
3221,ph_max,bicarbonate_min,0.25766448717336254,1.0
456,heart_rate_max,n_stays,0.2558046054517603,-1.0
6,n_stays,heart_rate_max,0.2558046054517603,-1.0
2460,potassium_max,glucose_max,0.2537603947387102,1.0
2160,glucose_max,potassium_max,0.2537603947387102,1.0
388,heart_rate_min,temperature_max,0.2533858684735418,1.0
613,temperature_max,heart_rate_min,0.2533858684735418,1.0
3342,pco2_min,abpd,0.25126338058527486,-1.0
5667,abpd,pco2_min,0.25126338058527486,-1.0
3341,pco2_min,abps,0.25119991963625055,-1.0
5591,abps,pco2_min,0.25119991963625055,-1.0
3799,urineoutput,abpm,0.25085970211177944,-1.0
5749,abpm,urineoutput,0.25085970211177944,-1.0
2304,bicarbonate_max,calcium_max,0.24935683801290862,1.0
1854,calcium_max,bicarbonate_max,0.24935683801290862,1.0
5743,abpm,pco2_min,0.24905231460015081,-1.0
3343,pco2_min,abpm,0.24905231460015081,-1.0
3797,urineoutput,abps,0.24713403293795713,-1.0
5597,abps,urineoutput,0.24713403293795713,-1.0
3798,urineoutput,abpd,0.2466102178999457,-1.0
5673,abpd,urineoutput,0.2466102178999457,-1.0
3697,sofa,urineoutput,0.2454812520880639,-1.0
3772,urineoutput,sofa,0.2454812520880639,-1.0
1711,bun_max,magnesium_min,0.24545783598785126,1.0
2986,magnesium_min,bun_max,0.24545783598785126,1.0
2321,bicarbonate_max,ph_min,0.24343334810040854,1.0
3146,ph_min,bicarbonate_max,0.24343334810040854,1.0
3678,sofa,bicarbonate_max,0.2425209832782099,-1.0
2328,bicarbonate_max,sofa,0.2425209832782099,-1.0
2457,potassium_max,creatinine_min,0.24232976185482324,1.0
1932,creatinine_min,potassium_max,0.24232976185482324,1.0
1368,spo2_max,n_stays,0.2411077493750092,-1.0
18,n_stays,spo2_max,0.2411077493750092,-1.0
4530,ventilation_status_invasivevent,po2_max,0.2406829788519054,1.0
3555,po2_max,ventilation_status_invasivevent,0.2406829788519054,1.0
3657,sofa,nbpm_min,0.24034234492354686,-1.0
732,nbpm_min,sofa,0.24034234492354686,-1.0
381,heart_rate_min,anchor_age,0.24025295494023513,-1.0
81,anchor_age,heart_rate_min,0.24025295494023513,-1.0
2229,bicarbonate_min,creatinine_min,0.24024085324467143,-1.0
1929,creatinine_min,bicarbonate_min,0.24024085324467143,-1.0
694,nbpm_min,nbpm_max,0.23927725363728564,1.0
769,nbpm_max,nbpm_min,0.23927725363728564,1.0
2508,sodium_min,n_stays,0.23859095887197018,-1.0
33,n_stays,sodium_min,0.23859095887197018,-1.0
1216,rr_max,n_stays,0.237918129146307,-1.0
16,n_stays,rr_max,0.237918129146307,-1.0
3668,sofa,platelet_max,0.23695108569372184,-1.0
1568,platelet_max,sofa,0.23695108569372184,-1.0
3161,ph_min,po2_min,0.23672918837296167,1.0
3461,po2_min,ph_min,0.23672918837296167,1.0
1555,platelet_max,wbc_min,0.23527606445178972,1.0
2680,wbc_min,platelet_max,0.23527606445178972,1.0
2052,glucose_min,n_stays,0.235147976841377,-1.0
27,n_stays,glucose_min,0.235147976841377,-1.0
3376,pco2_max,potassium_max,0.2342381358957715,1.0
2476,potassium_max,pco2_max,0.2342381358957715,1.0
1556,platelet_max,wbc_max,0.23367320243815495,1.0
2756,wbc_max,platelet_max,0.23367320243815495,1.0
291,weight,gender_m,0.23207977186694537,1.0
4791,gender_m,weight,0.23207977186694537,1.0
1627,bun_min,potassium_min,0.2315171595025148,1.0
2377,potassium_min,bun_min,0.2315171595025148,1.0
4550,ventilation_status_invasivevent,norepinephrine,0.2313439073825886,1.0
5075,norepinephrine,ventilation_status_invasivevent,0.2313439073825886,1.0
698,nbpm_min,nbps_max,0.2312904712606344,1.0
1073,nbps_max,nbpm_min,0.2312904712606344,1.0
82,anchor_age,heart_rate_max,0.2297137160096004,-1.0
457,heart_rate_max,anchor_age,0.2297137160096004,-1.0
5039,norepinephrine,calcium_min,0.2280501122860946,-1.0
1814,calcium_min,norepinephrine,0.2280501122860946,-1.0
3079,magnesium_max,magnesium_min,0.22728260174604542,1.0
3004,magnesium_min,magnesium_max,0.22728260174604542,1.0
771,nbpm_max,nbpd_min,0.22465024115587698,1.0
846,nbpd_min,nbpm_max,0.22465024115587698,1.0
1628,bun_min,potassium_max,0.224278986461818,1.0
2453,potassium_max,bun_min,0.224278986461818,1.0
15,n_stays,rr_min,0.2238601160741739,-1.0
1140,rr_min,n_stays,0.2238601160741739,-1.0
28,n_stays,glucose_max,0.2221676626412718,-1.0
2128,glucose_max,n_stays,0.2221676626412718,-1.0
3538,po2_max,ph_max,0.22084544441905202,1.0
3238,ph_max,po2_max,0.22084544441905202,1.0
468,heart_rate_max,nbpd_max,0.22065946116016055,1.0
918,nbpd_max,heart_rate_max,0.22065946116016055,1.0
2379,potassium_min,calcium_min,0.2192377375488977,1.0
1779,calcium_min,potassium_min,0.2192377375488977,1.0
2226,bicarbonate_min,bun_max,0.21840746167544897,-1.0
1701,bun_max,bicarbonate_min,0.21840746167544897,-1.0
2243,bicarbonate_min,magnesium_min,0.21821950988857725,1.0
2993,magnesium_min,bicarbonate_min,0.21821950988857725,1.0
4533,ventilation_status_invasivevent,urineoutput,0.21810832183276418,-1.0
3783,urineoutput,ventilation_status_invasivevent,0.21810832183276418,-1.0
902,nbpd_min,norepinephrine,0.21773606185780858,-1.0
5027,norepinephrine,nbpd_min,0.21773606185780858,-1.0
84,anchor_age,temperature_max,0.2177260654094422,-1.0
609,temperature_max,anchor_age,0.2177260654094422,-1.0
271,weight,pco2_min,0.21607435092743918,1.0
3271,pco2_min,weight,0.21607435092743918,1.0
1064,nbps_max,n_stays,0.21570002131373994,-1.0
14,n_stays,nbps_max,0.21570002131373994,-1.0
4670,ventilation_status_oxygen,sodium_max,0.21543217817542504,-1.0
2645,sodium_max,ventilation_status_oxygen,0.21543217817542504,-1.0
2150,glucose_max,bun_max,0.2151707158562584,1.0
1700,bun_max,glucose_max,0.2151707158562584,1.0
1131,nbps_max,phenylephrine,0.21507525098005595,-1.0
5106,phenylephrine,nbps_max,0.21507525098005595,-1.0
923,nbpd_max,nbpd_min,0.2121697543472459,1.0
848,nbpd_min,nbpd_max,0.2121697543472459,1.0
5388,milrinone,vasopressin,0.2120611267986053,1.0
5238,vasopressin,milrinone,0.2120611267986053,1.0
5102,phenylephrine,nbpm_max,0.2118285257264067,-1.0
827,nbpm_max,phenylephrine,0.2118285257264067,-1.0
1931,creatinine_min,potassium_min,0.21077795241768077,1.0
2381,potassium_min,creatinine_min,0.21077795241768077,1.0
2157,glucose_max,bicarbonate_min,0.21014721772293934,-1.0
2232,bicarbonate_min,glucose_max,0.21014721772293934,-1.0
218,suspected_infection,norepinephrine,0.20889785564145272,1.0
5018,norepinephrine,suspected_infection,0.20889785564145272,1.0
5133,phenylephrine,ph_min,0.20887457456372455,-1.0
3183,ph_min,phenylephrine,0.20887457456372455,-1.0
3142,ph_min,creatinine_max,0.2083794073713797,-1.0
2017,creatinine_max,ph_min,0.2083794073713797,-1.0
2378,potassium_min,bun_max,0.2083515561138794,1.0
1703,bun_max,potassium_min,0.2083515561138794,1.0
4237,admission_type_observation_admit,admission_type_urgent,0.20802588369395178,-1.0
4387,admission_type_urgent,admission_type_observation_admit,0.20802588369395178,-1.0
2006,creatinine_max,bicarbonate_max,0.20778831148346616,-1.0
2306,bicarbonate_max,creatinine_max,0.20778831148346616,-1.0
3539,po2_max,pco2_min,0.2074471894193619,-1.0
3314,pco2_min,po2_max,0.2074471894193619,-1.0
3347,pco2_max,weight,0.20623088370578352,1.0
272,weight,pco2_max,0.20623088370578352,1.0
5528,bilirubin,admission_type_surgical_same_day_admission,0.20597986333446458,-1.0
4328,admission_type_surgical_same_day_admission,bilirubin,0.20597986333446458,-1.0
5105,phenylephrine,nbps_min,0.2056151383208096,-1.0
1055,nbps_min,phenylephrine,0.2056151383208096,-1.0
2399,potassium_min,pco2_min,0.2055977717300604,1.0
3299,pco2_min,potassium_min,0.2055977717300604,1.0
2537,sodium_min,bicarbonate_min,0.2049867687837919,1.0
2237,bicarbonate_min,sodium_min,0.2049867687837919,1.0
5517,bilirubin,po2_min,0.2049484870049429,-1.0
3492,po2_min,bilirubin,0.2049484870049429,-1.0
3486,po2_min,norepinephrine,0.20449789004706675,-1.0
5061,norepinephrine,po2_min,0.20449789004706675,-1.0
3563,po2_max,phenylephrine,0.2043946056083142,1.0
5138,phenylephrine,po2_max,0.2043946056083142,1.0
2736,wbc_max,n_stays,0.2037127545250938,-1.0
36,n_stays,wbc_max,0.2037127545250938,-1.0
2169,glucose_max,ph_min,0.20349431344702804,-1.0
3144,ph_min,glucose_max,0.20349431344702804,-1.0
2398,potassium_min,ph_max,0.20336395759128817,-1.0
3223,ph_max,potassium_min,0.20336395759128817,-1.0
3191,ph_min,abpm,0.20325237982693356,-1.0
5741,abpm,ph_min,0.20325237982693356,-1.0
4551,ventilation_status_invasivevent,phenylephrine,0.20272272767253488,1.0
5151,phenylephrine,ventilation_status_invasivevent,0.20272272767253488,1.0
5589,abps,ph_min,0.20227031235070064,-1.0
3189,ph_min,abps,0.20227031235070064,-1.0
624,temperature_max,rr_max,0.20224207531533647,1.0
1224,rr_max,temperature_max,0.20224207531533647,1.0
3190,ph_min,abpd,0.20207573313518817,-1.0
5665,abpd,ph_min,0.20207573313518817,-1.0
3659,sofa,nbpd_min,0.20141495558539566,-1.0
884,nbpd_min,sofa,0.20141495558539566,-1.0
1791,calcium_min,pco2_min,0.2012752391420869,1.0
3291,pco2_min,calcium_min,0.2012752391420869,1.0
696,nbpm_min,nbpd_max,0.2008581253316952,1.0
921,nbpd_max,nbpm_min,0.2008581253316952,1.0
2346,bicarbonate_max,norepinephrine,0.20082932508812132,-1.0
5046,norepinephrine,bicarbonate_max,0.20082932508812132,-1.0
2305,bicarbonate_max,creatinine_min,0.19973999489016833,-1.0
1930,creatinine_min,bicarbonate_max,0.19973999489016833,-1.0
3316,pco2_min,sofa,0.198498835592982,-1.0
3691,sofa,pco2_min,0.198498835592982,-1.0
5538,bilirubin,norepinephrine,0.19791386788534504,1.0
5088,norepinephrine,bilirubin,0.19791386788534504,1.0
3765,urineoutput,ph_min,0.19747285795198888,1.0
3165,ph_min,urineoutput,0.19747285795198888,1.0
3724,urineoutput,n_stays,0.19712839370656418,-1.0
49,n_stays,urineoutput,0.19712839370656418,-1.0
10,n_stays,nbpm_max,0.19641344936597252,-1.0
760,nbpm_max,n_stays,0.19641344936597252,-1.0
2223,bicarbonate_min,platelet_min,0.19447829065502936,1.0
1473,platelet_min,bicarbonate_min,0.19447829065502936,1.0
1414,spo2_max,po2_max,0.19442574526476764,1.0
3514,po2_max,spo2_max,0.19442574526476764,1.0
3129,ph_min,nbps_min,0.1942528167329099,1.0
1029,nbps_min,ph_min,0.1942528167329099,1.0
3854,admission_type_direct_emer,admission_type_ew_emer,0.19281769431012993,-1.0
4154,admission_type_ew_emer,admission_type_direct_emer,0.19281769431012993,-1.0
3375,pco2_max,potassium_min,0.19261198535144325,1.0
2400,potassium_min,pco2_max,0.19261198535144325,1.0
979,nbpd_max,phenylephrine,0.1922562349314351,-1.0
5104,phenylephrine,nbpd_max,0.1922562349314351,-1.0
766,nbpm_max,heart_rate_max,0.19192808862859967,1.0
466,heart_rate_max,nbpm_max,0.19192808862859967,1.0
3686,sofa,lactate_max,0.19002512916981845,1.0
2936,lactate_max,sofa,0.19002512916981845,1.0
5639,abpd,rr_min,0.1892535869239596,-1.0
1214,rr_min,abpd,0.1892535869239596,-1.0
1213,rr_min,abps,0.18826859684607736,-1.0
5563,abps,rr_min,0.18826859684607736,-1.0
1215,rr_min,abpm,0.18816931810075235,-1.0
5715,abpm,rr_min,0.18816931810075235,-1.0
3464,po2_min,pco2_max,0.18813299349742985,-1.0
3389,pco2_max,po2_min,0.18813299349742985,-1.0
2014,creatinine_max,lactate_max,0.18747268983116305,1.0
2914,lactate_max,creatinine_max,0.18747268983116305,1.0
31,n_stays,potassium_min,0.18717864266101067,-1.0
2356,potassium_min,n_stays,0.18717864266101067,-1.0
199,suspected_infection,gcs_min,0.18693524287198932,-1.0
3574,gcs_min,suspected_infection,0.18693524287198932,-1.0
5768,abpm,vasopressin,0.18620188952001016,1.0
5243,vasopressin,abpm,0.18620188952001016,1.0
4528,ventilation_status_invasivevent,pco2_max,0.18607718475736276,1.0
3403,pco2_max,ventilation_status_invasivevent,0.18607718475736276,1.0
395,heart_rate_min,rr_min,0.18578115206409163,1.0
1145,rr_min,heart_rate_min,0.18578115206409163,1.0
3218,ph_max,creatinine_max,0.1857225059202694,-1.0
2018,creatinine_max,ph_max,0.1857225059202694,-1.0
1597,bun_min,anchor_age,0.18538548948512532,1.0
97,anchor_age,bun_min,0.18538548948512532,1.0
2007,creatinine_max,potassium_min,0.18536355962769668,1.0
2382,potassium_min,creatinine_max,0.18536355962769668,1.0
5235,vasopressin,phenylephrine,0.1851863777950486,1.0
5160,phenylephrine,vasopressin,0.1851863777950486,1.0
1207,rr_min,phenylephrine,0.18496879512287673,-1.0
5107,phenylephrine,rr_min,0.18496879512287673,-1.0
5616,abps,vasopressin,0.1844390955649306,1.0
5241,vasopressin,abps,0.1844390955649306,1.0
5692,abpd,vasopressin,0.18431152339857257,1.0
5242,vasopressin,abpd,0.18431152339857257,1.0
3217,ph_max,creatinine_min,0.1839301880697974,-1.0
1942,creatinine_min,ph_max,0.1839301880697974,-1.0
3725,urineoutput,anchor_age,0.1838196108838952,-1.0
125,anchor_age,urineoutput,0.1838196108838952,-1.0
912,nbpd_max,n_stays,0.18347727532029057,-1.0
12,n_stays,nbpd_max,0.18347727532029057,-1.0
1638,bun_min,ph_max,0.1834027439268574,-1.0
3213,ph_max,bun_min,0.1834027439268574,-1.0
3433,po2_min,nbps_min,0.17999417955157618,1.0
1033,nbps_min,po2_min,0.17999417955157618,1.0
2348,bicarbonate_max,vasopressin,0.17972601044350747,-1.0
5198,vasopressin,bicarbonate_max,0.17972601044350747,-1.0
1714,bun_max,ph_max,0.17896522554352665,-1.0
3214,ph_max,bun_max,0.17896522554352665,-1.0
751,nbpm_min,phenylephrine,0.17859865388895033,-1.0
5101,phenylephrine,nbpm_min,0.17859865388895033,-1.0
1767,calcium_min,platelet_min,0.17857083842469362,1.0
1467,platelet_min,calcium_min,0.17857083842469362,1.0
1819,calcium_min,albumin,0.17839452918256524,-1.0
5419,albumin,calcium_min,0.17839452918256524,-1.0
532,temperature_min,n_stays,0.1781789476691311,-1.0
7,n_stays,temperature_min,0.1781789476691311,-1.0
5501,bilirubin,bicarbonate_min,0.17795279242492992,-1.0
2276,bicarbonate_min,bilirubin,0.17795279242492992,-1.0
3018,magnesium_min,admission_type_ew_emer,0.17739865511375455,-1.0
4143,admission_type_ew_emer,magnesium_min,0.17739865511375455,-1.0
495,heart_rate_max,magnesium_min,0.17710877990910237,-1.0
2970,magnesium_min,heart_rate_max,0.17710877990910237,-1.0
1429,spo2_max,ventilation_status_oxygen,0.17668715346499247,-1.0
4654,ventilation_status_oxygen,spo2_max,0.17668715346499247,-1.0
479,heart_rate_max,calcium_min,0.17643221136183643,-1.0
1754,calcium_min,heart_rate_max,0.17643221136183643,-1.0
5181,vasopressin,nbps_min,0.1762316045130392,-1.0
1056,nbps_min,vasopressin,0.1762316045130392,-1.0
5030,norepinephrine,nbps_max,0.1761611854406258,-1.0
1130,nbps_max,norepinephrine,0.1761611854406258,-1.0
484,heart_rate_max,glucose_max,0.17543203057364481,1.0
2134,glucose_max,heart_rate_max,0.17543203057364481,1.0
5141,phenylephrine,urineoutput,0.17513629865223762,-1.0
